method,iou_th,TP,FP,FN,P,R,F1
OBS,0.5,712824.0,592468.0,469114.0,54.61030941735642,60.30976244100791,57.3187039397241
OBS,0.3,650876.0,512404.0,531062.0,55.95179148614263,55.068539974178,55.50665226004576
OBS,0.7,741357.0,730491.0,440581.0,50.36912779036966,62.72384845905623,55.87164903274039
OBS,0.6,730785.0,662206.0,451153.0,52.46157369286665,61.829385297705976,56.76156507616327
OBS,0.8,745938.0,781543.0,436000.0,48.834519054574166,63.111432240946655,55.0625798372271
OBS,0.1,549742.0,423767.0,632196.0,56.47015076388611,46.511915176599786,51.00955857416118
OBS,0.2,607670.0,473276.0,574268.0,56.21649925158149,51.41301828014667,53.70756963238063
OBS,0.9,747884.0,829629.0,434054.0,47.40905463219637,63.2760770869538,54.205274889824096
OBS,0.4,686123.0,547309.0,495815.0,55.627144423040754,58.05067609299304,56.81307625746781
NMS,0.1,483443.0,427674.0,698495.0,53.0604741213258,40.902568493440434,46.194963820826494
NMS,0.2,579397.0,460656.0,602541.0,55.70841101366951,49.020930031862925,52.151156327815904
NMS,0.3,640739.0,511641.0,541199.0,55.60136413335879,54.21088077378001,54.89731904564844
NMS,0.5,715646.0,650670.0,466292.0,52.37778083547291,60.54852284976031,56.16755629540855
NMS,0.6,738262.0,767287.0,443676.0,49.03606591349733,62.46199039205103,54.94069366661122
NMS,0.7,756158.0,927111.0,425780.0,44.921994048485416,63.97611380630794,52.78208520361704
NMS,0.8,767188.0,1151215.0,414750.0,39.99097165715441,64.90932688516656,49.49055603883573
NMS,0.9,767815.0,1526919.0,414123.0,33.459869422774055,64.96237535302191,44.169539145481664
NMS,0.4,685292.0,573893.0,496646.0,54.42345644206371,57.98036783655319,56.14563461161112
NONE,NONE,787744.0,2720391.0,394194.0,22.45478010395837,66.64850440547643,33.59197180939401
