method,dataset,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl,TP,FP,FN,P,R,F1
OBS-iou,MTSD-OBS-disabled,44.262500775165826,74.40172082890722,48.142753493179136,16.298783078377443,43.203314252012134,51.48022121506616,51.27895151076222,39.92086825412765,34.200860122109866,47.82981104298596,53.80843779532882,53.82651763877659,21.613877844418987,50.86428592296042,57.93757706789256,57.57050239787146,46.538439866359276,34.99230769230769,14907.0,21913.0,11194.0,40.48614883215644,57.11275430060151,47.3832265857186
OBS-iou,MTSD-OBS-th01,42.71844189043515,71.77096824709476,46.33062034063336,14.345807989324316,41.776499335688534,50.24218581587371,49.476016583867974,38.23950703518652,34.11831218716907,46.062156847619505,51.30910801010376,51.32030951985872,19.474245793741716,48.11558045335733,56.11233826017684,54.92205901045297,43.6872255424887,34.73076923076923,14989.0,17300.0,11112.0,46.421381894762916,57.4269185088694,51.340983045041966
OBS-iou,MTSD-OBS-th02,42.84789873299755,71.9853190397972,46.50748764403201,14.345928372109732,41.87627948289834,50.35682632926344,49.58093522205236,38.4000439469203,34.11812309531399,46.171294496344,51.49810709117795,51.50950418026581,19.474245793741716,48.239717553706214,56.23574629706505,55.02556763522514,43.98611956239423,34.73076923076923,15050.0,17411.0,11051.0,46.36332830165429,57.66062602965404,51.398517810184075
OBS-iou,MTSD-OBS-th03,42.87298086200171,72.04823437730761,46.52687983481908,14.345757397956449,41.94300727953013,50.30169373180329,49.611503016760786,38.315762253922244,34.11441947555945,46.207267050074954,51.578947486829264,51.59040917092613,19.474245793741716,48.39654380631184,56.19364618161714,55.08088400210867,44.03259392136859,34.73076923076923,15068.0,17570.0,11033.0,46.16704454929837,57.72958890463967,51.30492517748003
OBS-iou,MTSD-OBS-th04,42.72371353101832,71.73962496062113,46.40655600256033,16.44926173317741,41.811569219141944,49.98367584941848,49.49447657036565,38.323986440051215,34.1115617524568,46.08889681088171,51.45313423107956,51.46479328881514,21.588943549655188,48.28650135449853,55.950157647871535,54.97939786481999,44.033695684189105,34.73076923076923,15045.0,17742.0,11056.0,45.88708939518712,57.641469675491365,51.096997690531175
OBS-iou,MTSD-OBS-th05,42.77091687763214,71.78456995511353,46.51298382110533,16.445276804847815,41.76807336237234,50.0070406241272,49.585130620680694,38.23635919624688,34.108189162055254,46.06826836392299,51.50288503353722,51.514639189480526,21.59298694880607,48.25672084516764,55.95462837784076,55.184041703454824,44.11222132521475,34.73076923076923,15018.0,17894.0,11083.0,45.63077297034516,57.53802536301291,50.89725992577906
OBS-iou,MTSD-OBS-th06,42.710897063018486,71.64232012824323,46.48374243479039,16.444464672008806,41.67931893498347,49.86431645912025,49.56358115679337,38.23534696864821,34.1051339427484,45.97148639696145,51.43236422119226,51.44416323478074,21.59298694880607,48.126155651005135,55.79294484802006,55.18336127175313,44.11237156559936,34.73076923076923,14988.0,17998.0,11113.0,45.43745831564907,57.42308723803685,50.73197149965305
OBS-iou,MTSD-OBS-th07,42.616131173093315,71.4484484123431,46.43615941974655,16.44399295935137,41.508969293163915,49.74013700803029,49.53679357344248,38.12344062221516,34.092307381237006,45.880482787566166,51.33183306455928,51.34371282190904,21.59298694880607,47.95447068945774,55.689829932931936,55.17462491564916,43.983930345361266,34.73076923076923,14956.0,18143.0,11145.0,45.18565515574488,57.30048657139574,50.52702702702702
OBS-iou,MTSD-OBS-th08,42.48659697530528,71.28062442988993,46.243301624076295,16.44373668606555,41.37707628512825,49.6131030702209,49.48662630143322,38.123154763374366,34.15075030210102,45.79323282730704,51.24565703678585,51.257608566367885,21.59298694880607,47.85086339983416,55.609740042244525,55.1421667251,43.983930345361266,34.88461538461539,14924.0,18355.0,11177.0,44.845097508939574,57.17788590475461,50.26608285618054
OBS-iou,MTSD-OBS-th09,42.28241383851534,70.9084589935393,46.022402836974265,12.759582492651344,41.24183065220689,49.42665132555257,49.15667567877093,38.0669010307351,34.189559441495625,45.62432995288413,51.03129233765525,51.04331922808114,17.908776422490284,47.66758950095287,55.37759327129817,54.80345774425196,43.944867845361266,34.96153846153847,14858.0,18489.0,11243.0,44.555732149818574,56.92502202980728,49.98654286098775
