method,iou_th,AP,AP50,TP,FP,FN,P,R,F1,dataset,conf_th,AP75,APu,APvt,APt,APs,APm,APl,AR500,ARu,ARvt,ARt,ARs,ARm,ARl
NONE,NONE,75.82318940797342,94.2693075485095,15514.0,4237.0,728.0,78.54792162422156,95.5177933752001,86.20565109882476,ZebraFish,,,,,,,,,,,,,,,
NMS,0.1,52.19485314825981,73.92614289337989,12985.0,2358.0,3257.0,84.63142801277456,79.94705085580594,82.22257400664871,ZebraFish,,,,,,,,,,,,,,,
NMS,0.2,65.98911660246516,88.67234550397633,14666.0,2216.0,1576.0,86.87359317616396,90.29676148257604,88.55210723342591,ZebraFish,,,,,,,,,,,,,,,
NMS,0.3,72.57232399709625,93.22533233571316,15234.0,2539.0,1008.0,85.71428571428571,93.79386775027706,89.57224753785094,ZebraFish,,,,,,,,,,,,,,,
NMS,0.4,74.30998497013044,93.39817666341932,15379.0,2847.0,863.0,84.37945791726106,94.68661494889793,89.23639317627946,ZebraFish,,,,,,,,,,,,,,,
NMS,0.5,75.2911808695799,94.26058949997068,15458.0,3124.0,784.0,83.18803142826391,95.1730082502155,88.77785435331955,ZebraFish,,,,,,,,,,,,,,,
NMS,0.6,75.58832072983003,94.27977222764208,15496.0,3424.0,746.0,81.90274841437632,95.40696958502647,88.14060633638589,ZebraFish,,,,,,,,,,,,,,,
NMS,0.7,75.68208795460217,94.275677667213,15507.0,3750.0,735.0,80.52656176974607,95.47469523457704,87.36584129130397,ZebraFish,,,,,,,,,,,,,,,
NMS,0.8,75.75974014337264,94.27210095427134,15513.0,4043.0,729.0,79.3260380445899,95.51163649796824,86.66964634895805,ZebraFish,,,,,,,,,,,,,,,
NMS,0.9,75.82421139503957,94.27057119337402,15514.0,4213.0,728.0,78.64348355046383,95.5177933752001,86.26317106397175,ZebraFish,,,,,,,,,,,,,,,
OBS_no_NMS,0.1,75.87086755155858,94.55982818226973,15468.0,2086.0,774.0,88.1166685655691,95.23457702253415,91.53746005444432,ZebraFish,,,,,,,,,,,,,,,
OBS_no_NMS,0.2,76.03746582434823,94.57954128001298,15506.0,2210.0,736.0,87.52540076766765,95.46853835734515,91.32457741916484,ZebraFish,,,,,,,,,,,,,,,
OBS_no_NMS,0.3,76.03903291238832,94.57527802105612,15511.0,2301.0,731.0,87.08174264540759,95.49932274350452,91.09649380395842,ZebraFish,,,,,,,,,,,,,,,
OBS_no_NMS,0.4,76.0309910515952,94.5640076540952,15513.0,2472.0,729.0,86.25521267723103,95.51163649796824,90.64773424489438,ZebraFish,,,,,,,,,,,,,,,
OBS_no_NMS,0.5,76.02005628994252,94.54944059020666,15514.0,2673.0,728.0,85.3026887337109,95.5177933752001,90.12169972987888,ZebraFish,,,,,,,,,,,,,,,
OBS_no_NMS,0.6,76.00991936111528,94.53826535412998,15514.0,2909.0,728.0,84.20995494761982,95.5177933752001,89.50814943026107,ZebraFish,,,,,,,,,,,,,,,
OBS_no_NMS,0.7,75.99739770978633,94.52330296317967,15514.0,3189.0,728.0,82.94925947708923,95.5177933752001,88.7909572184862,ZebraFish,,,,,,,,,,,,,,,
OBS_no_NMS,0.8,75.95323339304706,94.46135799681026,15514.0,3547.0,728.0,81.39132259587639,95.5177933752001,87.89054754553436,ZebraFish,,,,,,,,,,,,,,,
OBS_no_NMS,0.9,75.90741090318164,94.3938195149053,15514.0,3950.0,728.0,79.70612412659268,95.5177933752001,86.89856046602812,ZebraFish,,,,,,,,,,,,,,,
NONE,NONE,15.014536826255126,34.778110245872426,34260.0,110283.0,14792.0,23.70228928415765,69.84424692163418,35.39347607117953,DroneCrowd,0.1,10.250855265454517,-100.0,35.15472161228347,47.63674724471368,-100.0,-100.0,-100.0,71.3630433009867,-100.0,71.35339112697604,100.0,-100.0,-100.0,-100.0
NMS,0.1,12.484437381559015,37.74632975264467,21570.0,15742.0,27482.0,57.80981989708405,43.97374215118649,49.95136862581631,DroneCrowd,0.1,5.389775461471444,-100.0,38.03665676800594,13.61584607629113,-100.0,-100.0,-100.0,50.30783658158688,-100.0,50.327383987761344,33.33333333333333,-100.0,-100.0,-100.0
NMS,0.2,16.801756168471922,48.00515121373941,25802.0,16819.0,23250.0,60.53823232678727,52.60132104705211,56.291383504412416,DroneCrowd,0.1,6.997401959258092,-100.0,48.26503113684288,49.69589730830016,-100.0,-100.0,-100.0,59.97308978227187,-100.0,59.98368179500255,77.77777777777779,-100.0,-100.0,-100.0
NMS,0.3,20.199634951391587,54.19877803306568,28683.0,18771.0,20369.0,60.44379820457706,58.474679931501264,59.44293619049592,DroneCrowd,0.1,9.393838462863476,-100.0,54.48553423550997,90.79053388508694,-100.0,-100.0,-100.0,66.80665416292914,-100.0,66.8230494645589,100.0,-100.0,-100.0,-100.0
