,method,ds,TP,FP,FN,P,R,F1
0,OBS-iou,SDS-OBS-disabled,43146.0,13570.0,4532.0,76.07377106989209,90.49456772515626,82.65992298407954
1,OBS-iou,SDS-OBS-th01,42966.0,6915.0,4712.0,86.13700607445722,90.11703511053317,88.08208366219415
2,OBS-iou,SDS-OBS-th02,43011.0,7039.0,4667.0,85.93606393606393,90.21141826418894,88.02185658153242
3,OBS-iou,SDS-OBS-th03,43021.0,7184.0,4657.0,85.69066826013345,90.23239229833466,87.90290448801119
4,OBS-iou,SDS-OBS-th04,43036.0,7391.0,4642.0,85.3431693338886,90.26385334955326,87.73457010346057
5,OBS-iou,SDS-OBS-th05,43040.0,7741.0,4638.0,84.75610956853942,90.27224296321154,87.42725398389179
6,OBS-iou,SDS-OBS-th06,43063.0,8211.0,4615.0,83.98603580762179,90.32048324174671,87.03815991591883
7,OBS-iou,SDS-OBS-th07,43102.0,8931.0,4576.0,82.83589260661503,90.40228197491506,86.45385163121422
8,OBS-iou,SDS-OBS-th08,43115.0,9927.0,4563.0,81.2846423588854,90.42954821930451,85.61358220810166
9,OBS-iou,SDS-OBS-th09,43123.0,11447.0,4555.0,79.02327286054609,90.44632744662108,84.3498161333229
