,method,ds,TP,FP,FN,P,R,F1
0,OBS-iou,SDS-NMS-th01,40395.0,9233.0,7283.0,81.39558313855082,84.7246109316666,83.0267403859988
1,OBS-iou,SDS-NMS-th02,41402.0,9501.0,6276.0,81.33508830520795,86.83669617014137,83.99590184721193
2,OBS-iou,SDS-NMS-th03,41840.0,10158.0,5838.0,80.4646332551252,87.75535886572423,83.95200449456239
3,OBS-iou,SDS-NMS-th04,41954.0,11209.0,5724.0,78.91578729567557,87.99446285498553,83.20821887922571
4,OBS-iou,SDS-NMS-th05,42020.0,12465.0,5658.0,77.12214370927778,88.13289148034733,82.2607010365788
5,OBS-iou,SDS-NMS-th06,42056.0,13819.0,5622.0,75.26800894854586,88.20839800327195,81.2260388400143
6,OBS-iou,SDS-NMS-th07,42128.0,15441.0,5550.0,73.17827302888708,88.35941104912118,80.05548851748743
7,OBS-iou,SDS-NMS-th08,42173.0,17400.0,5505.0,70.7921373776711,88.45379420277696,78.64355577104176
8,OBS-iou,SDS-NMS-th09,42221.0,20345.0,5457.0,67.4823386503852,88.55446956667646,76.59555168535249
9,OBS-iou,SDS-NONE,42387.0,25318.0,5291.0,62.60542057455136,88.90263853349553,73.47182860560049
10,OBS-iou,SDS-OBS-disabled-NMS-th01,42088.0,14628.0,5590.0,74.20833627195148,88.27551491253828,80.6329865701094
11,OBS-iou,SDS-OBS-th01,42034.0,7847.0,5644.0,84.26855917082656,88.16225512815134,86.17144497176068
12,OBS-iou,SDS-OBS-th02,42064.0,7986.0,5614.0,84.04395604395604,88.22517723058854,86.08382449246889
13,OBS-iou,SDS-OBS-th03,42052.0,8153.0,5626.0,83.76058161537695,88.20000838961366,85.92298969177487
14,OBS-iou,SDS-OBS-th04,42057.0,8370.0,5621.0,83.40174906300196,88.21049540668652,85.73874929922022
15,OBS-iou,SDS-OBS-th05,42073.0,8708.0,5605.0,82.8518540398968,88.24405386131968,85.46298459257153
16,OBS-iou,SDS-OBS-th06,42101.0,9173.0,5577.0,82.10984124507547,88.30278115692772,85.0937828442073
17,OBS-iou,SDS-OBS-th07,42143.0,9890.0,5535.0,80.99283147233487,88.39087210033978,84.53029254545638
18,OBS-iou,SDS-OBS-th08,42160.0,10882.0,5518.0,79.48418234606538,88.42652795838751,83.71723590150913
19,OBS-iou,SDS-OBS-th09,42164.0,12406.0,5514.0,77.26589701301081,88.43491757204582,82.473984821219
20,vis,SDS-NMS-th01,6.0,6.0,47672.0,50.0,0.012584420487436554,0.025162507863283706
21,vis,SDS-NMS,6.0,12.0,47672.0,33.33333333333333,0.012584420487436554,0.025159342502515933
22,vis,SDS-OBS-th01,8.0,2.0,47670.0,80.0,0.01677922731658207,0.03355141754739138
