method,conf_th,iou_th,TP,FP,FN,P,R,F1
NMS,0.1,0.1,40395,9233,7283,81.3955831385508,84.7246109316666,83.0267403859988
OBS,0.1,0.1,42088,14628,5590,74.2083362719515,88.2755149125383,80.6329865701094
OBS,0.1,0.1,42034,7847,5644,84.2685591708266,88.1622551281513,86.1714449717607
NMS,0.1,0.2,41402,9501,6276,81.3350883052079,86.8366961701414,83.9959018472119
OBS,0.1,0.2,42064,7986,5614,84.0439560439561,88.2251772305886,86.0838244924689
NMS,0.1,0.3,41840,10158,5838,80.4646332551252,87.7553588657242,83.9520044945624
OBS,0.1,0.3,42052,8153,5626,83.760581615377,88.2000083896137,85.9229896917749
NMS,0.1,0.4,41954,11209,5724,78.9157872956756,87.9944628549855,83.2082188792257
OBS,0.1,0.4,42057,8370,5621,83.401749063002,88.2104954066865,85.7387492992202
NMS,0.1,0.5,42020,12465,5658,77.1221437092778,88.1328914803473,82.2607010365788
OBS,0.1,0.5,42073,8708,5605,82.8518540398968,88.2440538613197,85.4629845925715
NMS,0.1,0.6,42056,13819,5622,75.2680089485459,88.208398003272,81.2260388400143
OBS,0.1,0.6,42101,9173,5577,82.1098412450755,88.3027811569277,85.0937828442073
NMS,0.1,0.7,42128,15441,5550,73.1782730288871,88.3594110491212,80.0554885174874
OBS,0.1,0.7,42143,9890,5535,80.9928314723349,88.3908721003398,84.5302925454564
NMS,0.1,0.8,42173,17400,5505,70.7921373776711,88.453794202777,78.6435557710418
OBS,0.1,0.8,42160,10882,5518,79.4841823460654,88.4265279583875,83.7172359015091
NMS,0.1,0.9,42221,20345,5457,67.4823386503852,88.5544695666765,76.5955516853525
OBS,0.1,0.9,42164,12406,5514,77.2658970130108,88.4349175720458,82.473984821219
NONE,0.1,NONE,42387,25318,5291,62.6054205745514,88.9026385334955,73.4718286056005
NMS,0.2,0.1,40614,6997,7064,85.3038163449623,85.183942279458,85.2438371690332
OBS,0.2,0.1,42177,11550,5501,78.5024289463398,88.4621838164353,83.1852472757754
OBS,0.2,0.1,42074,5688,5604,88.0909509652025,88.2461512647343,88.1684828164292
NMS,0.2,0.2,41574,7172,6104,85.2869979075206,87.1974495574479,86.2316435742139
OBS,0.2,0.2,42112,5764,5566,87.9605647923803,88.325852594488,88.14283023212
NMS,0.2,0.3,41998,7708,5680,84.4928177684787,88.0867486052267,86.2523617842767
OBS,0.2,0.3,42119,5863,5559,87.7808344795965,88.34053441839,88.059795107673
NMS,0.2,0.4,42089,8679,5589,82.9045855657107,88.2776123159529,85.5067752879751
OBS,0.2,0.4,42124,6008,5554,87.5176597689687,88.3510214354629,87.9323661413214
NMS,0.2,0.5,42134,9764,5544,81.1861728775675,88.3719954696086,84.626817707078
OBS,0.2,0.5,42128,6268,5550,87.0485164063146,88.3594110491212,87.6990653038283
NMS,0.2,0.6,42150,10888,5528,79.4713224480561,88.4055539242418,83.700702966758
OBS,0.2,0.6,42157,6625,5521,86.4191710056988,88.4202357481438,87.4082521252333
NMS,0.2,0.7,42211,12164,5467,77.6294252873563,88.5334955325307,82.7236827922746
OBS,0.2,0.7,42196,7210,5482,85.4066307735902,88.5020344813121,86.9267850521198
NMS,0.2,0.8,42246,13613,5432,75.6297105211336,88.6069046520408,81.6056095888426
OBS,0.2,0.8,42212,8132,5466,83.8471317336723,88.5355929359453,86.1276040072637
NMS,0.2,0.9,42265,16146,5413,72.3579462772423,88.6467553169177,79.6783832442572
OBS,0.2,0.9,42218,9582,5460,81.5019305019305,88.5481773564327,84.8790687388166
NONE,0.2,NONE,42320,21053,5358,66.7792277468323,88.7621125047192,76.2172335233361
NMS,0.3,0.1,40604,5863,7074,87.3824434544946,85.1629682453123,86.2584311434489
