method,dataset,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl,TP,FP,FN,P,R,F1
OBS-iou,SDS-NMS-th01,43.3625898030628,80.0678807259582,41.9949594818851,-100,34.9577850410026,40.7436788209665,48.0555921472285,32.8839443834777,59.0729453894653,24.4770857200901,54.6106815496182,54.6106815496182,-100,41.4087652929264,54.6031759029897,58.7454695751302,38.7874495149509,63.1750954198473,40395,9233,7283,81.3955831385508,84.7246109316666,83.0267403859988
OBS-iou,SDS-NMS-th02,46.0614987495401,82.2338222584942,45.4062029930532,-100,34.9621120047588,42.2616041296103,52.1200028586157,34.53224711852,63.1354341005098,25.2514838600164,56.4379165142316,56.4379165142316,-100,41.5139583678957,55.4457046629492,61.9281240376583,40.1561103003659,65.9995229007634,41402,9501,6276,81.3350883052079,86.8366961701414,83.9959018472119
OBS-iou,SDS-NMS-th03,47.8522038617357,83.5313242609243,48.0814937800534,-100,34.9594219515568,43.4557374762248,54.7805207966555,35.8307649924736,64.4661024569033,25.693440176705,57.6341833160963,57.6347765766563,-100,41.6797919578292,56.1357444798752,63.8561368802176,41.121605487747,67.0491412213741,41840,10158,5838,80.4646332551252,87.7553588657242,83.9520044945624
OBS-iou,SDS-NMS-th04,48.7361210755428,83.4952358192395,49.7957602681216,-100,35.0909616668087,43.8036140292576,56.1489221047455,37.3956869370042,64.8121349436344,25.8901848587866,58.4460999744512,58.4490662772514,-100,41.8523331584589,56.8424337566117,64.9546088138989,42.6442321010888,67.2781488549618,41954,11209,5724,78.9157872956756,87.9944628549855,83.2082188792257
OBS-iou,SDS-NMS-th05,49.1838134522371,82.8938293122629,51.3282327744671,-100,35.1958573261226,43.6588846126354,57.0568636314509,38.0161361928935,64.7626299931393,25.9892667713735,59.1344943428816,59.1378561527218,-100,42.0109934717801,57.5199778675522,65.9274694554017,43.6231609869688,67.2590648854962,42020,12465,5658,77.1221437092778,88.1328914803473,82.2607010365788
OBS-iou,SDS-NMS-th06,49.1454842737141,82.2919648067734,51.9383042860727,-100,35.1433021035805,43.0793024850249,57.2778375667473,38.6245454520385,64.7411474052691,25.960752848544,59.6917003096734,59.6976329152738,-100,42.1724387093377,58.3774592631045,66.6794976059108,44.4301836352101,67.2399809160305,42056,13819,5622,75.2680089485459,88.208398003272,81.2260388400143
OBS-iou,SDS-NMS-th07,48.6693463427682,80.8548225162224,51.8612055805641,-100,34.9197414209381,41.8188462123194,57.2928249701482,38.9084578477893,64.7593440124149,25.87213631769,60.1597996750563,60.1738401749771,-100,42.4095689871357,59.3139961436344,67.3520880288965,45.1647666806827,67.3544847328244,42128,15441,5550,73.1782730288871,88.3594110491212,80.0554885174874
OBS-iou,SDS-NMS-th08,48.0343690196812,79.4594303887384,51.0844663414508,-100,34.7750320702011,40.9261624577818,56.7845435514945,39.0320935638796,64.8687818913963,25.8142403963711,60.587271994692,60.6106732583454,-100,42.754995394404,60.0538674285929,68.0006042398207,45.6920065491124,67.4689885496183,42173,17400,5505,70.7921373776711,88.453794202777,78.6435557710418
OBS-iou,SDS-NMS-th09,47.0796043352478,77.4317712313888,50.0536023058673,-100,34.3245736967075,39.1427944781201,55.663978618251,39.2113679678295,64.8963108386627,25.7562569624876,60.943088235827,60.9942096664685,-100,43.0318499947214,60.6691293272371,68.2888548735641,46.1811357326142,67.6025763358779,42221,20345,5457,67.4823386503852,88.5544695666765,76.5955516853525
OBS-iou,SDS-NONE,44.6238044788746,72.8424335917498,47.6568761299231,-100,31.4762964159288,35.761931028517,54.0874576766489,39.1835621030971,64.9180498331354,25.7482034721737,60.9947975197382,61.2389315513349,-100,43.3064633907493,61.0435405680858,68.367961006805,46.2725675549947,67.6598282442748,42387,25318,5291,62.6054205745514,88.9026385334955,73.4718286056005
OBS-iou,SDS-OBS-th01,50.5554473549273,83.9078048952204,53.7453021512578,-100,35.8728388741362,46.4155711946997,58.6369061094233,38.9448315287292,64.6645834057835,26.284893417169,59.3722563577211,59.3752226605213,-100,41.616487155831,57.716394897322,66.7891596002658,44.6282591475672,67.1636450381679,42034,7847,5644,84.2685591708266,88.1622551281513,86.1714449717607
OBS-iou,SDS-OBS-th02,50.5474056662748,83.9049119781173,53.7356875932324,-100,35.8718885189778,46.4845851453475,58.6610040948919,38.9281761825122,64.7120230714016,26.2906289149273,59.4163592667511,59.4193255695513,-100,41.616487155831,57.8373677924838,66.8507612429763,44.577387054544,67.2399809160305,42064,7986,5614,84.0439560439561,88.2251772305886,86.0838244924689
OBS-iou,SDS-OBS-th03,50.5648181254899,83.9026015661096,53.7338614209778,-100,35.8704405023902,46.5073832856219,58.6483693442868,38.9643642949011,64.7120230714016,26.2949794923676,59.442744908827,59.4457112116272,-100,41.6190448798264,57.8729472812838,66.8521870849359,44.7300033336137,67.2399809160305,42052,8153,5626,83.760581615377,88.2000083896137,85.9229896917749
OBS-iou,SDS-OBS-th04,50.6070086922178,84.1154045911996,53.7319585377576,-100,35.8544081104768,46.5215759178793,58.7045582027165,39.0265726733949,64.7596505276987,26.2939907247675,59.4689338570722,59.4726911739524,-100,41.6203789246503,57.8972605902743,66.9263369176401,44.7832979072572,67.3163167938931,42057,8370,5621,83.401749063002,88.2104954066865,85.7387492992202
OBS-iou,SDS-OBS-th05,50.6196224984769,84.1065441159764,53.89183532698,-100,35.787050959682,46.6162437848367,58.7218242135106,39.0064887108587,64.7596505276987,26.2910894789035,59.5342582212904,59.5380155381707,-100,41.624381059122,58.113919503506,66.9377446292531,44.7832979072572,67.3163167938931,42073,8708,5605,82.8518540398968,88.2440538613197,85.4629845925715
OBS-iou,SDS-OBS-th06,50.6142390799126,84.0661870899531,53.8653703840946,-100,35.6646681422549,46.5891693392045,58.7171784338437,38.980493764524,64.7596505276987,26.2969654213799,59.5717466952639,59.5758995191842,-100,41.6875387234463,58.1915288130613,66.9479922149176,44.7832979072572,67.3163167938931,42101,9173,5577,82.1098412450755,88.3027811569277,85.0937828442073
OBS-iou,SDS-OBS-th07,50.5756069740635,83.9318534473389,53.7899033983224,-100,35.65664889254,46.4245610164227,58.701889750542,38.9562216955117,64.7596505276987,26.2885374078013,59.6298771547672,59.6344254857275,-100,41.8781282489366,58.2409971907501,66.9651037823372,44.7959554180167,67.3163167938931,42143,9890,5535,80.9928314723349,88.3908721003398,84.5302925454564
OBS-iou,SDS-OBS-th08,50.3562905538497,83.5319857615757,53.549118542745,-100,35.4976050109404,45.9050541320103,58.5770291989182,38.9085772818953,64.7596505276987,26.2545404009231,59.6584471250534,59.6631932095337,-100,41.9291107423689,58.2917695174554,66.9685260958211,44.7959554180167,67.3163167938931,42160,10882,5518,79.4841823460654,88.4265279583875,83.7172359015091
OBS-iou,SDS-OBS-th09,49.7914185052449,82.5245029047766,52.903364497878,-100,35.3195927476898,44.1860409395367,58.4220189263874,38.8547296216543,64.7596505276987,26.2044799806388,59.6773427561871,59.6844618829076,-100,41.9540713142396,58.3116511314697,66.9987552140826,44.7959554180167,67.3163167938931,42164,12406,5514,77.2658970130108,88.4349175720458,82.473984821219
