,method,ds,TP,FP,FN,P,R,F1
0,SEG-RES,SDS-roi-large,41845.0,9765.0,5833.0,81.07924820771169,87.7658458827971,84.29014583836918
1,SEG-RES,SDS-roi-medium,41850.0,9790.0,5828.0,81.04182804027886,87.77633289986996,84.27475382105963
2,SEG-RES,SDS-roi-small,39025.0,7883.0,8653.0,83.19476421932292,81.85116825370193,82.51749730404076
3,SEG-RES,SDS-roi-tiny,31367.0,4985.0,16311.0,86.28686179577466,65.78925290490373,74.65667023682018
4,SEG-RES,SDS-roi_track-large,42201.0,10967.0,5477.0,79.37293108636774,88.512521498385,83.69394918985384
5,SEG-RES,SDS-roi_track-medium,42016.0,11276.0,5662.0,78.8411018539368,88.12450186668904,83.22472021392493
6,SEG-RES,SDS-roi_track-small,41406.0,9904.0,6272.0,80.6977197427402,86.84508578379966,83.65862528791368
7,SEG-RES,SDS-roi_track-tiny,40002.0,8796.0,7676.0,81.97467109307759,83.9003313897395,82.92632364525892
8,SEG-RES,SDS-roi_track_bintrk-large,42214.0,10272.0,5464.0,80.42906679876538,88.53978774277445,84.28976478575136
9,SEG-RES,SDS-roi_track_bintrk-medium,42207.0,10238.0,5471.0,80.47859662503575,88.52510591887244,84.31029833305035
10,SEG-RES,SDS-roi_track_bintrk-small,41564.0,8588.0,6114.0,82.87605678736641,87.17647552330216,84.97189001328836
11,SEG-RES,SDS-roi_track_bintrk-tiny,39192.0,6921.0,8486.0,84.99121722724611,82.20143462393557,83.57305071915215
12,SEG-RES,SDS-track,28842.0,4633.0,18836.0,86.1598207617625,60.49330928310751,71.08055155077446
13,SEG-RES,SDS-track_bintrk,29122.0,4937.0,18556.0,85.50456560674124,61.08058223918788,71.25781469836183
