method,dataset,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl,TP,FP,FN,P,R,F1
SEG-RES,SDS-roi-large,50.57438866570555,83.39020030833807,54.28305322417552,-100.0,33.109244199180644,47.661439978945765,58.781213134593145,38.31354293724738,61.41930699647361,26.62152294376792,59.45826316428698,59.46162497412719,-100.0,38.63655485807232,59.29041890870057,66.7471065574888,44.55644740725379,63.95555025445293,41845.0,9765.0,5833.0,81.07924820771169,87.7658458827971,84.29014583836918
SEG-RES,SDS-roi-medium,50.660284426557,83.1975173069966,54.369685616483295,-100.0,34.5692357289864,47.365620018361554,59.4524695511162,38.10157852426001,63.05410489252051,26.41079384180288,58.82547999552036,58.83220361520078,-100.0,40.030418415735504,57.95148223826849,66.7583138169234,44.0396849084138,66.70006361323155,41850.0,9790.0,5828.0,81.04182804027886,87.77633289986996,84.27475382105963
SEG-RES,SDS-roi-small,47.23687781736185,76.02374021962075,51.36116451663953,-100.0,24.52724779288695,43.69087989194305,60.18165025972028,38.773202612911966,65.18342930236085,24.571658675519135,54.44307569788304,54.44663526124327,-100.0,28.107945829143745,53.64308905982722,67.0234277937067,43.91667779370951,70.29063295165395,39025.0,7883.0,8653.0,83.19476421932292,81.85116825370193,82.51749730404076
SEG-RES,SDS-roi-tiny,38.06276750641179,59.6017520503291,41.561433951002904,-100.0,10.356606854012306,30.632312596618455,59.71430867405848,36.14830942203633,63.77152990803738,18.57799442570989,42.94437447706102,42.94437447706102,-100.0,11.687506282980118,37.25176960616125,66.0131005595012,40.530850946977345,70.7468590966921,31367.0,4985.0,16311.0,86.28686179577466,65.78925290490373,74.65667023682018
SEG-RES,SDS-roi_track-large,50.26260617608824,83.66023479727636,53.68427581418137,-100.0,35.58341375843348,47.393074056258264,58.50847648135825,35.72955608047651,52.321485220283705,26.398560008679855,59.43355789808275,59.4402815177632,-100.0,41.59200101004407,59.67397140580617,66.65101908932853,42.706817473478,54.699626272264624,42201.0,10967.0,5477.0,79.37293108636774,88.512521498385,83.69394918985384
SEG-RES,SDS-roi_track-medium,50.60442227882859,83.430181338318,54.49094936782103,-100.0,35.22582656599697,47.60536751369592,59.16165604734769,35.917935602943466,54.55044364645817,26.53461293126825,59.290162301893226,59.29510613989354,-100.0,40.572492515390536,59.6877248684138,66.60096371744598,42.226580148590735,58.33750795165395,42016.0,11276.0,5662.0,78.8411018539368,88.12450186668904,83.22472021392493
SEG-RES,SDS-roi_track-small,49.81267823637678,81.7625033045326,53.76918665562809,-100.0,34.064307545861055,45.47975715027282,59.49471482602448,36.70670009182516,58.03783475216194,26.01460394214412,58.03111358385414,58.03902372465465,-100.0,39.16553551578649,57.34622563841061,66.56076378244096,42.44759958026816,61.0148298346056,41406.0,9904.0,6272.0,80.6977197427402,86.84508578379966,83.65862528791368
SEG-RES,SDS-roi_track-tiny,48.640029201797205,78.94198427958855,52.83649421796377,-100.0,28.14261237538539,44.33209945897325,59.86139482170662,36.15854930844491,59.67820692342104,25.13834385404853,56.72866003018879,56.73360386818912,-100.0,32.35738223278358,56.376180150291255,66.60684910602292,41.62319706177789,63.967676526717554,40002.0,8796.0,7676.0,81.97467109307759,83.9003313897395,82.92632364525892
SEG-RES,SDS-roi_track_bintrk-large,50.85369249730742,84.26009389763674,54.35287110633639,-100.0,35.432676258949655,47.56365776066642,58.740806094978936,38.109756264717674,63.94601620337137,26.71883937336279,59.664092430354344,59.66962952891471,-100.0,41.315963070204894,59.423976569689444,66.78873979544335,43.90841952896156,67.29524491094148,42214.0,10272.0,5464.0,80.42906679876538,88.53978774277445,84.28976478575136
SEG-RES,SDS-roi_track_bintrk-medium,51.11602033220638,84.32291684889826,54.558613151540825,-100.0,34.99699754945011,48.331997249619526,59.40453447905809,37.87470608740382,64.01456015898323,26.776818244558097,59.59276673824105,59.60198747462455,-100.0,40.71961193863339,59.382262999226946,66.82885712900493,43.37896125950411,67.74968193384224,42207.0,10238.0,5471.0,80.47859662503575,88.52510591887244,84.31029833305035
SEG-RES,SDS-roi_track_bintrk-small,50.535368686709795,82.3959518492017,54.60156115663869,-100.0,33.839651339374655,46.5622797788472,60.064747460107185,38.75652714550403,64.44452132311957,26.249888945280585,58.412801734737904,58.41616354457814,-100.0,39.300351727874904,57.146604283970035,66.97038725355523,43.73100929635896,70.61506043256998,41564.0,8588.0,6114.0,82.87605678736641,87.17647552330216,84.97189001328836
SEG-RES,SDS-roi_track_bintrk-tiny,48.218175866396415,77.48274269072151,52.49624434277935,-100.0,25.99591814379157,44.45480395800907,59.831521115181985,37.64828366093242,62.944379209551016,25.022821124512063,55.408714290463834,55.41009856510393,-100.0,30.128204185082836,54.532581341287326,66.47193490181604,42.36387572693317,70.7468590966921,39192.0,6921.0,8486.0,84.99121722724611,82.20143462393557,83.57305071915215
SEG-RES,SDS-track,34.93939888734457,56.24734051934378,36.80613140577876,-100.0,30.645152764640315,38.90170650871398,25.224514094583373,15.879283720189852,44.15841584158416,19.31127473540643,41.20197835092051,41.20672443540082,-100.0,34.712759005532504,48.56046389688709,27.655828516294857,19.94342136410485,44.31913963104326,28842.0,4633.0,18836.0,86.1598207617625,60.49330928310751,71.08055155077446
SEG-RES,SDS-track_bintrk,34.64284111242239,56.82056702267263,36.18297197019215,-100.0,30.504805834555366,38.47803562352724,25.282622782451934,18.36626111078632,37.87128712871287,19.438346608928274,41.49484156768277,41.49958765216307,-100.0,34.642109903391585,48.57352798403228,28.282185033224028,22.848073313910117,37.837945292620866,29122.0,4937.0,18556.0,85.50456560674124,61.08058223918788,71.25781469836183
