method,dataset,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl,TP,FP,FN,P,R,F1
OBS-iou,Zebra-NMS_no_dil-th01,37.371401170296664,65.63102791197375,35.44869171111639,-100.0,0.0,14.146680709168946,33.8402595135571,42.68009182102942,-100.0,21.490579977835242,53.47247875877355,53.47371013421992,-100.0,0.0,29.240506329113924,55.70383076043453,52.32745236414961,-100.0,12334.0,3931.0,3908.0,75.83154011681525,75.93892377785987,75.88519395822438
OBS-iou,Zebra-NMS_no_dil-th02,50.049118533624146,84.6788153239772,47.7619644155949,-100.0,0.0,14.72401488957574,47.28198405831487,53.90600356588493,-100.0,24.76542297746583,62.939293190493785,62.94052456594016,-100.0,0.0,36.177215189873415,63.98056032018295,63.4424841213832,-100.0,14346.0,4272.0,1896.0,77.05446342249435,88.32656076837829,82.30636833046472
OBS-iou,Zebra-NMS_no_dil-th03,59.475236645972174,91.31650771857224,59.71061411008856,-100.0,0.0,15.15210589773705,56.95901503950106,63.5441267253124,-100.0,26.861839674916883,69.84977219554241,69.85900751139023,-100.0,0.0,41.69620253164557,69.74957118353345,71.878616796048,-100.0,15169.0,5305.0,1073.0,74.08908860017583,93.39367073020564,82.62882666957185
OBS-iou,Zebra-NMS_no_dil-th04,64.62407120092979,91.53589251588794,69.08534031104753,-100.0,0.0,16.048843303052013,61.74001054985722,69.30329327882157,-100.0,28.06489348602389,73.82218938554364,73.83080901366827,-100.0,0.0,45.265822784810126,73.03716409376786,76.70995059985886,-100.0,15384.0,6589.0,858.0,70.0131980157466,94.71739933505727,80.5128876095774
OBS-iou,Zebra-NMS_no_dil-th05,67.31584376971972,91.19745386321662,76.25349479332455,-100.0,0.0,15.414977668389637,64.16592651486559,72.25597596014606,-100.0,28.715059721709146,76.1888929934737,76.2116734392316,-100.0,0.0,48.25316455696203,75.073756432247,79.45377558221595,-100.0,15477.0,7877.0,765.0,66.27130256058919,95.28998891762099,78.17456308718053
OBS-iou,Zebra-NMS_no_dil-th06,68.20003473067364,90.53445152337264,78.51287715779738,-100.0,0.0,15.219674228924006,65.09348378229689,72.94230717655302,-100.0,28.959487747814304,77.37286048516192,77.43073513114147,-100.0,0.0,51.46835443037976,76.40137221269296,80.37967537050106,-100.0,15531.0,8940.0,711.0,63.46696089248498,95.62246028814185,76.2950408960283
OBS-iou,Zebra-NMS_no_dil-th07,68.24789730616968,90.07691258703012,78.24004081395113,-100.0,0.0,15.150011312973156,65.48867549998903,72.89162221690512,-100.0,29.0438369658909,77.76936337889421,77.89619504987068,-100.0,0.0,52.43037974683544,77.02001143510577,80.60550458715596,-100.0,15546.0,9847.0,696.0,61.22159650297326,95.71481344661987,74.67755494175574
OBS-iou,Zebra-NMS_no_dil-th08,68.32975641819654,89.83328822250778,78.50088715367536,-100.0,0.0,14.978803527083437,65.42940233594013,72.91332397861069,-100.0,29.072158601157494,77.94606575544883,78.11661125477157,-100.0,0.0,53.240506329113934,77.30817610062893,80.70853916725476,-100.0,15550.0,10547.0,692.0,59.58539295704487,95.73944095554735,73.45473440563075
OBS-iou,Zebra-NMS_no_dil-th09,68.3531038502303,90.2275537858811,78.52303854354365,-100.0,0.0,14.907825616111966,65.43678977440553,73.066302671766,-100.0,29.075237039773427,77.99716783647334,78.1997290974018,-100.0,0.0,53.62025316455698,77.41909662664379,80.73817925194072,-100.0,15554.0,10899.0,688.0,58.79862397459645,95.76406846447482,72.86099074833118
OBS-iou,Zebra-OBS_no_NMS_no_dil-th01,68.36450710026311,89.47803891932068,78.32248742681094,-100.0,0.0,29.278119419816967,67.4273279136764,71.39276203546646,-100.0,29.31289250092354,74.1558921315109,74.16143332101957,-100.0,0.0,48.02531645569621,73.12978845054316,77.09103740296402,-100.0,14688.0,2196.0,1554.0,86.99360341151386,90.43221278167714,88.6795870313349
OBS-iou,Zebra-OBS_no_NMS_no_dil-th02,70.346828152314,92.39985432641784,81.01111128869806,-100.0,0.0,30.736833855036505,69.88651908993843,73.01049938959669,-100.0,29.291959118335182,76.4277798300702,76.43332101957887,-100.0,0.0,50.40506329113925,75.78730703259005,78.8906139731828,-100.0,15169.0,2448.0,1073.0,86.10433104387806,93.39367073020564,89.60099235063055
OBS-iou,Zebra-OBS_no_NMS_no_dil-th03,71.24882788915869,93.38181413125874,81.95019389259582,-100.0,0.0,30.795124460469108,70.71340789638285,73.88671574331397,-100.0,29.300578746459806,77.44982145056028,77.45659401551535,-100.0,0.0,51.26582278481015,76.77758719268152,79.96047988708538,-100.0,15383.0,2743.0,859.0,84.86704181838243,94.71124245782539,89.5193202979516
